artist_id,artist_genres
053q0ukIDRgzwTr4vNSwab,"['art pop', 'canadian electropop', 'grave wave', 'indietronica', 'metropopolis', 'neo-synthpop']"
1n02UdnML6G4wR162YsSRi,"['canadian pop', 'contemporary vocal jazz']"
3X458ddYA2YcVWuVIGGOYe,"['contemporary r&b', 'dance pop', 'r&b', 'urban contemporary']"
79AE2ZiBtN7Qbcbr5dGIwd,['finnish classical']
6XwwFnewNgWp81MYMK8zLq,"['romanian house', 'romanian pop']"
2KftmGt9sk1yLjsAoloC3M,"['italian adult pop', 'italian pop rock']"
4J13m9IZh03PEhoxAxRhXO,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sierreno']"
12Chz98pHFMPJEknJQMWvI,"['alternative rock', 'modern rock', 'permanent wave', 'rock']"
4hxDvVq5t8ebPYPdBl1F9f,"['alternative metal', 'groove metal', 'industrial metal', 'nu metal', 'post-grunge', 'southern metal']"
5qBZETtyzfYnXOobDXbmcD,"['orchestral soundtrack', 'soundtrack']"
1U5zgr455OGyIkLNXvDdrf,"['gregorian chant', 'hengelliset laulut', 'puirt-a-beul']"
0rEbComO5bNoUER3Nfg4CU,['smooth jazz']
54ee3dUdSbGNlVN1H9WeCE,"['deep comedy', 'new comedy']"
79Xp2rRN7wdsaTJgttdX3K,"['australian pop', 'pop', 'post-teen pop']"
3MHaV05u0io8fQbZ2XPtlC,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']"
3AVA9bUTMNoJ9RrbmB0YfW,[]
3nFkdlSjzX9mRTtwJOzDYB,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
1o3WRYsnZllUekoxNdSAoG,['latin christian']
5274obTQJjzjyycRyJlfml,"['deathcore', 'melodic metalcore', 'metalcore', 'nu metal', 'tennessee metal']"
7AzzsLSrHV9darZnK3RSDN,"['melodic metalcore', 'metalcore', 'neon pop punk', 'screamo']"
2gR0iQTVBPHDKiNn1Kq8HI,"['afro-funk', 'afrobeat', 'afropop', 'old school highlife']"
3V79CTgRnsDdJSTqKitROv,"['chiptune', 'japanese classical', 'japanese vgm', 'orchestral soundtrack', 'video game music']"
06dWxf0xJ9XdOwsCydqmU3,['christian punk']
1QQBo7mfkehMjDfz1tj5Pq,[]
4kH5JNlmJpBBqMQUdUEmO9,['fingerstyle']
1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'pop']"
4uE9TgBW0AaPDHL1qYbtd0,"['hindustani classical', 'indian classical', 'sitar']"
27vNK840zYq6IfDijHPsv1,"['salsa', 'salsa puertorriquena', 'tropical']"
4iA6bUhiZyvRKJf4FNVX39,['filmi']
1wDTppICsOJwrAAaROEqaY,[]
4JqzwqRUOCEHeIVRDWG5Jv,"['banda', 'musica mexicana', 'norteno', 'tierra caliente']"
2yHT6cR15NAMgUB8sgWNnq,['tierra caliente']
